Epoch,MAE
1,0.45300593972206116
2,0.37831515073776245
3,0.37836650013923645
4,0.3756689727306366
5,0.37708380818367004
6,0.3750112056732178
7,0.37441912293434143
8,0.3749733865261078
9,0.3723571300506592
10,0.3727249205112457
11,0.3714352250099182
12,0.3723086416721344
13,0.3710937201976776
14,0.36783456802368164
15,0.3692494332790375
16,0.3676961064338684
17,0.36779239773750305
18,0.36715567111968994
19,0.365989089012146
20,0.36626186966896057
21,0.3631540536880493
22,0.3644654452800751
23,0.3629317581653595
24,0.3620143532752991
25,0.3610438406467438
26,0.36079472303390503
27,0.36406204104423523
28,0.3595351576805115
29,0.35986873507499695
30,0.3588038682937622
31,0.3569057285785675
32,0.35626712441444397
33,0.3546520173549652
34,0.35310623049736023
35,0.35512152314186096
36,0.3524989187717438
37,0.35037365555763245
38,0.3492558002471924
39,0.35149574279785156
40,0.3493461608886719
41,0.3509244918823242
42,0.34694215655326843
43,0.34792768955230713
44,0.3458414673805237
45,0.34593328833580017
46,0.3441186249256134
47,0.3437258303165436
48,0.3430878221988678
49,0.34214845299720764
50,0.34109991788864136
51,0.341924250125885
52,0.34181535243988037
