timestamp,open,high,low,close,volume
2024-03-23 09:00:00,64522.0,64597.64,64186.21,64470.0,802.07123
2024-03-23 10:00:00,64470.0,64712.33,64204.09,64320.01,884.49724
2024-03-23 11:00:00,64320.0,64629.62,64234.0,64629.62,639.87361
2024-03-23 12:00:00,64629.61,64926.87,64537.75,64697.94,1088.91987
2024-03-23 13:00:00,64697.94,64721.4,64278.15,64596.06,1107.67413
2024-03-23 14:00:00,64596.06,65414.69,64387.45,65248.0,2066.92758
2024-03-23 15:00:00,65247.79,65350.0,64733.15,65104.05,1340.49966
2024-03-23 16:00:00,65104.06,65815.31,64892.25,65661.34,2093.03602
2024-03-23 17:00:00,65661.33,65999.0,65470.44,65652.7,1424.36914
2024-03-23 18:00:00,65652.7,65681.72,65270.01,65373.88,692.75822
2024-03-23 19:00:00,65373.88,65485.15,64786.25,64872.9,1058.3338
2024-03-23 20:00:00,64872.9,65118.2,64672.93,65009.78,677.42716
2024-03-23 21:00:00,65009.79,65199.97,64780.0,64944.69,442.70223
2024-03-23 22:00:00,64944.68,65050.72,64744.55,64747.86,474.50737
2024-03-23 23:00:00,64747.87,64810.0,63861.66,63990.01,1455.90346
2024-03-24 00:00:00,63990.02,64576.73,63954.85,64524.0,870.29259
2024-03-24 01:00:00,64524.0,64723.16,64380.0,64470.0,538.45739
2024-03-24 02:00:00,64470.01,64539.99,64170.0,64278.06,658.93709
2024-03-24 03:00:00,64278.05,64278.06,63922.85,63962.98,868.02748
2024-03-24 04:00:00,63962.98,64250.0,63772.29,64218.0,843.4309
2024-03-24 05:00:00,64218.0,64379.62,64103.33,64304.57,431.14367
2024-03-24 06:00:00,64304.57,64418.54,64086.19,64218.94,522.18944
2024-03-24 07:00:00,64218.93,64583.44,64027.77,64583.43,887.3597
2024-03-24 08:00:00,64583.44,65259.42,64476.0,65244.0,1825.98978
2024-03-24 09:00:00,65244.0,65251.99,64800.0,64880.02,927.0207
2024-03-24 10:00:00,64880.01,65368.66,64872.0,65098.01,862.8569
